ชื่อสินค้า,ราคา
ถาดสี่เหลี่ยมตื้น 190x18mm รุ่น MN-0557 (2B),ราคา 175.00 บาท
กล่องเครื่องมือแพทย์ 12x8x2 นิ้ว พร้อมฝา รุ่น MN-0162 (2B),ราคา 470.00 บาท
ถ้วยน้ำ 12 ออนซ์ รุ่น MN-0383 (2B),ราคา 130.00 บาท
กล่องเครื่องมือแพทย์ 8x5x2 นิ้ว พร้อมฝา รุ่น MN-0156 (2B),ราคา 305.00 บาท
กล่องเครื่องมือแพทย์ 8x3x1.5 นิ้ว พร้อมฝา รุ่น MN-0153 (2B),ราคา 210.00 บาท
ถุงใส่อาหาร M2-39-06 (2B),ราคา 16.00 บาท
สายต่อกับถุงใส่อาหารมีกระเปราะ M2-39-07 (2B),ราคา 16.00 บาท
สายให้อาหาร DUODENAL TUBE 125 cm No.12 (M2-35-12),ราคา 12.00 บาท
NORMETEC (10mg/40mg) 30's,ราคา 895.00 บาท
เก้าอี้นั่งอาบน้ำไม่มีพนักพิง รุ่น CC-0523 (TA),ราคา 735.00 บาท
รถเข็นเหล็กชุบพับได้ มีเบรก (Mobility),"ราคา 2,400.00 บาท"
เครื่องผลิตออกซิเจน ขนาด 5 ลิตร ATOM รุ่น ZY-5AW (YADA),"ราคา 17,600.00 บาท"
ท่อออกซิเจน ขนาด 0.5 คิว,"ราคา 1,900.00 บาท"
ท่ออกซิเจน ขนาด 2.0 คิว,"ราคา 2,680.00 บาท"
ท่อออกซิเจน ขนาด 6.0 คิว,"ราคา 4,950.00 บาท"
รถเข็นเหล็กนั่งถ่าย ล้อแม็ก เบรกมือ รุ่น FS609BU (YADA),ราคา 0.00 บาท
รถเข็นอลูมิเนียมอัลลอยด์ ล้อแม็ก 12 นิ้ว รุ่น FS805LA (YADA),"ราคา 4,350.00 บาท"
รถเข็นอัลลอยด์ ล้อแม็ก 16 นิ้ว รุ่น B63 (YADA),"ราคา 4,400.00 บาท"
รถเข็นอัลลอยด์ ล้อแม็ก 20 นิ้ว รุ่น THLQ05 (YADA),"ราคา 5,550.00 บาท"
รถเข็นอัลลอยด์ ล้อแม็ก 16 นิ้ว รุ่น THLQ05 (YADA),"ราคา 5,550.00 บาท"
รถเข็นอัลลอยด์ ล้อแม็ก 20 นิ้ว รุ่น THLQ04 (YADA),"ราคา 4,900.00 บาท"
รถเข็นอัลลอยด์ ล้อแม็ก 20 นิ้ว รุ่น B63 (YADA),"ราคา 5,200.00 บาท"
รถเข็นเหล็กพับได้เบาะผ้า เบรกมือ รุ่น CA907E (YADA),"ราคา 2,900.00 บาท"
รถเข็นอัลลอยด์ ล้อแม็ก 22 นิ้ว รุ่น FS868L (YADA),ราคา 0.00 บาท
รถเข็นอัลลอยด์ ล้อซี่ลวด 20 นิ้ว รุ่น PHW863L (YADA),"ราคา 4,720.00 บาท"
ROLLATOR 8 นิ้ว รุ่น GK9146L (YADA),ราคา 0.00 บาท
ROLLATOR 6 นิ้ว มีที่วางเท้า รุ่น FS9650LH (YADA),"ราคา 2,500.00 บาท"
วอล์คเกอร์ 4 ขา หัดเดิน พับได้ (Mobility),ราคา 900.00 บาท
วอล์คเกอร์พับได้ มีล้อ รุ่น FS9125L (YADA),"ราคา 1,020.00 บาท"
ไม้เท้าอลูมิเนียม+ที่พักแขน รุ่น MC07-937L (2B),ราคา 225.00 บาท
ไม้เท้า+เก้าอี้นั่งได้ รุ่น YA-836L (YADA),ราคา 370.00 บาท
ไม้เท้าค้ำยันอลูมิเนียม No.S รุ่น Y801LS (TY),ราคา 450.00 บาท
ไม้เท้าค้ำยันอลูมิเนียม No.M รุ่น Y801LM (TY),ราคา 450.00 บาท
ไม้เท้าค้ำยันอลูมิเนียม No.L รุ่น Y081LL (TY),ราคา 450.00 บาท
เตียง 3 ไกร์ มือหมุนราวสไลด์+ที่นอน รุ่น S301 (YADA),"ราคา 19,500.00 บาท"
เตียง 2 ไกร์ ราวอลูมิเนียม+ที่นอน รุ่น KJW-S231 (YADA),"ราคา 11,500.00 บาท"
เตียง 2 ไกร์ มือหมุน+ที่นอน รุ่น S201 (YADA),"ราคา 12,750.00 บาท"
เตียง 2 ไกร์ ไฟฟ้าราวสไลด์ รุ่น D332 (YADA),"ราคา 22,000.00 บาท"
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
เตียง 5 ไกร์ ไฟฟ้าราวปีกนก+ที่นอน รุ่น KJW-D502 (YADA),ราคา 0.00 บาท
เตียง 3 ไกร์ ไฟฟ้า ABS ปีกนก+ที่นอน รุ่น YD306 (YADA),"ราคา 42,000.00 บาท"
เตียง 3 ไกร์ ไฟฟ้า+ที่นอน รุ่น YD303 (YADA),"ราคา 36,500.00 บาท"
รถเข็นเหล็กนั่งถ่ายโครงขาว ล้อแม็ก 8 นิ้ว รุ่น FS609LU (YADA),"ราคา 6,200.00 บาท"
เก้าอี้นั่งถ่ายอลูมิเนียม รุ่น GK894L (YADA),"ราคา 1,550.00 บาท"
เก้าอี้นั่งอาบน้ำ รุ่น Y798L (TY),ราคา 840.00 บาท
เก้าอี้อาบน้ำ มือจับ 2 ด้าน รุ่น 7985/Y355L (TY),"ราคา 1,200.00 บาท"
เก้าอี้นั่งถ่ายอลูมิเนียม มีล้อ พับได้ รุ่น GK696L (YADA),"ราคา 1,900.00 บาท"
รถเข็นนั่งถ่ายอัลลอยด์แบบมีล้อ รุ่น 614L/FS 698L (YADA),"ราคา 2,750.00 บาท"
GUTTRU DUAL 24X10ml (TNP),ราคา 378.00 บาท
TYSTATIN Suspension 12 ml (TO),ราคา 33.50 บาท
SMOOTH E WHITE 10 g,ราคา 90.00 บาท
SMOOTH E WHITE 30 g,ราคา 215.00 บาท
SMOOTH E SUN 15 g,ราคา 228.00 บาท
SMOOTH E GOLD Cream 12 g,ราคา 118.00 บาท
SMOOTH E GOLD Cream 30 g,ราคา 265.00 บาท
SMOOTH E WHITE Serum 24 g,ราคา 428.00 บาท
LUBRIC-EYES น้ำตาเทียม 32X0.8ml/กล่อง,ราคา 198.00 บาท
BD ULTRA-FINE 32G (0.23x4mm) 100 ชิ้น/กล่อง,ราคา 610.00 บาท
SPATYL 10 mg 10's (TNP),ราคา 28.00 บาท
เยนเชียนไวโอเลตแอลพี 450 ml,ราคา 48.00 บาท
ยาสตรีเล่งคุณ สูตร 2 สำหรับสตรีหลังคลอดบุตร 500 ml,ราคา 130.00 บาท
GUTTRU DUAL Suspension 150 ml (TNP),ราคา 225.00 บาท
ยาแก้ไอ LP น้ำดำ ตราเสือดาว 180 ml,ราคา 26.50 บาท
SMOOTH E FACE LIFT Capsules 12's,ราคา 203.00 บาท
ยาน้ำแก้ไอมะแว้ง ตราไอยรา 120 ml (T.MAN),ราคา 35.00 บาท
HUMALOG (100 U/ml) 5X3ml/กล่อง Lilly,"ราคา 1,520.00 บาท"
XALATAN EYE Drops 2.5 ml,ราคา 538.00 บาท
MIXTARD 30 (100 IU/ml) 10 ml,ราคา 332.00 บาท
INSULATARD (100 IU/ml) 10 ml,ราคา 322.00 บาท
GYNOFLOR Vaginal Tablets (1X6's),ราคา 428.00 บาท
INSULATARD Penfill (100 IU/ml) 5X3ml/กล่อง,ราคา 650.00 บาท
NovoMix 30 FlexPen (100 U/ml) 5X3ml/กล่อง,"ราคา 2,714.00 บาท"
MIXTARD 30 Penfill (100 IU/ml) 5X3ml/กล่อง,ราคา 655.00 บาท
NOVORAPID Penfill (100 U/ml) 5X3ml/กล่อง,"ราคา 1,322.00 บาท"
HUMULIN NPH Penfill (100 IU/ml) 5X3ml/กล่อง Lilly,ราคา 774.00 บาท
Lantus SoloStar 5X3ml/กล่อง (SANOFI),"ราคา 3,630.00 บาท"
LANOTAN Ophthalmic Solution 2.5 ml,ราคา 265.00 บาท
ฟ้าทะลายโจร แอนดร็อกซิล 10's (KMP),ราคา 40.00 บาท
MEGA SAMETTO (3X10's),ราคา 488.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
PHARMICA PLASTER COOL 10X14cm 10 ซอง/กล่อง,ราคา 315.00 บาท
PHARMICA PLASTER WARM 10X12cm 6 ซอง/กล่อง,ราคา 310.00 บาท
MaxxLife VIRGIN COCONUT Oil น้ำมันมะพร้าว 500 ml,ราคา 298.00 บาท
OLENE โอลีน-อี น้ำมันมะกอก 120 ml (ศิริบัญชา),ราคา 29.00 บาท
ตรีผลา ผสมวิตามินซี 30's (KMP),ราคา 125.00 บาท
สารสกัดกระชาย 30's (KMP),ราคา 170.00 บาท
ฟ้าทะลายโจร แอนดร็อกซิล 30's (KMP),ราคา 120.00 บาท
มะรุม ชนิดแคปซูล 100's (C&L),ราคา 108.00 บาท
กระชายสกัด อ้วยอันโอสถ 60's,ราคา 160.00 บาท
MaxxLife RICE BRAND Oil PACK (2X30's),ราคา 410.00 บาท
MaxxLife 8 Oil 30's,ราคา 495.00 บาท
MaxxLife CALCIUM BORON 60's,ราคา 370.00 บาท
MaxxLife FISH COLLAGEN 110 g,ราคา 995.00 บาท
MaxxLife FISH OIL PACK (90's+30's),ราคา 365.00 บาท
VISTRA COLLAGEN PURE 30X5g/กล่อง,ราคา 682.00 บาท
MaxxLife MAG-CAL 30 ซอง/กล่อง,ราคา 510.00 บาท
ZHULIAN COFFEE PLUS กาแฟผสมโสม บรรจุ 84 ซอง,ราคา 870.00 บาท
DETTOL 4000 ml,"ราคา 1,935.00 บาท"
COMFORT100 กระบอกปัสสาวะชายและหญิง,ราคา 104.00 บาท
DETTOL 1000 ml,ราคา 595.00 บาท
เครื่องวัดความดันโลหิต AMA SOS PLUS รุ่น FT-C03-V,ราคา 760.00 บาท
CINNAMON อบเชยเทศ อ้วยอันโอสถ 100's,ราคา 108.00 บาท
TRUSLEN COFFEE PLUS 16gX10ซอง,ราคา 68.00 บาท
TRUSLEN COFFEE BLOC 13gX10ซอง,ราคา 108.00 บาท
ฟ้าทะลายโจรสกัด อ้วยอันโอสถ 45's,ราคา 140.00 บาท
ฟลาวาซอย แคปซูล 60's,ราคา 229.00 บาท
AQUA MARIS NASAL Spray STRONG 30 ml (FRX),ราคา 245.00 บาท
SINOMARIN Mini Spray 30 ml,ราคา 210.00 บาท
AQUA MARIS NASAL Spray CLASSIC 30 ml (FRX),ราคา 228.00 บาท
SINOMARIN PLUS ALGAE Spray 50 ml,ราคา 240.00 บาท
METEOSPASMYL 3X10's,ราคา 274.00 บาท
VISANNE 2 mg 2X14's (BAYER),"ราคา 2,600.00 บาท"
TOPAMINE Syrup 60 ml (BURAPHA),ราคา 16.50 บาท
ANTUSSIA Syrup 60 ml,ราคา 21.00 บาท
ICORIN KIDS 60 ml (GREATER),ราคา 33.00 บาท
DELYTE ORS รสส้ม 10x10x7.0573g/กล่อง (BKD),ราคา 392.00 บาท
AMBROCIN 30 mg 50X10's (Medicpharma),ราคา 150.00 บาท
NAPEX 10X10's (CMED),ราคา 155.00 บาท
CLATIDYNE-O 50X10's (NL),ราคา 290.00 บาท
ALLER TAB 10 mg (10X10's),ราคา 176.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
COUGO 5X4's (BMP),ราคา 20.50 บาท
CHLORPHENIRAMINE 10X10's (BLHUA),ราคา 48.00 บาท
URITOS 0.1 mg 3X10's (Eisai),ราคา 730.00 บาท
VISTRA COLLAGEN TYPE-2 1000 mg PLUS 10 ซอง/กล่อง,ราคา 430.00 บาท
PARACAP 50X10's/กล่อง,ราคา 355.00 บาท
PANADOL Actifast 500 mg 10's (GSK),ราคา 38.00 บาท
KIT Syrup 60 ml (CP),ราคา 21.50 บาท
BRILLIOR 50 mg 56's (VIATRIS),"ราคา 1,302.00 บาท"
TESTOVIRON Depot 1X1ml (BAYER),ราคา 220.00 บาท
RANEXA 375 mg 3X20's (Menarini),"ราคา 1,820.00 บาท"
ANDROLIZ MOUTH Spray 15 ml,ราคา 98.00 บาท
MEGA PRO AMINO 10 ซอง/กล่อง,ราคา 680.00 บาท
MaxxLife IRON AMINO ACID CHELATE 30's,ราคา 365.00 บาท
MaxxLife ZINC BISGLYCINATE CHELATE 30's,ราคา 375.00 บาท
MaxxLife MULTI MINERAL 30's,ราคา 235.00 บาท
PROVAMED ALOE VERA Gel 50 g,ราคา 78.00 บาท
PROVAMED ANTI MELASMA OVER NIGHT MASK 50 g,ราคา 280.00 บาท
MEGA LIVOTONE (10X10's),"ราคา 1,227.00 บาท"
BIOFRESH MOUTH Spray 15 ml (BIOPHARM),ราคา 76.00 บาท
MaxxLife ORAL SPRAY Q10 15 ml (Wellgate),ราคา 135.00 บาท
REGENEZ HAIR TONIC 30 ml (MEGA),ราคา 208.00 บาท
GLYCEDIAB 5 mg 50X10's (RX Chumchon),ราคา 410.00 บาท
PUVADON GARGLE 30 ml (ATC),ราคา 72.00 บาท
NODOGLE Spray 15 ml,ราคา 94.00 บาท
MEGA UNOMINT 10's,ราคา 46.00 บาท
MEGA iiCARE DAILY 3X10's,ราคา 440.00 บาท
MEGA ASTAX 6 mg (3X10's),ราคา 367.00 บาท
MEGA AB PRE&PRO 10 ซอง/กล่อง,ราคา 234.00 บาท
MEGA CURCARE 250 mg (3X10's),ราคา 347.00 บาท
ENCEPHABOL FORTE 200 mg 25X10's (MERCK),ราคา 104.00 บาท
น้ำมันมะพร้าวสกัดเย็น NENT 100 ml,ราคา 78.00 บาท
NORFLOXACIN 400 mg 1X6's (RX Chumchon),ราคา 20.00 บาท
NAPROXEN 250 mg 10X10's (RX Chumchon),ราคา 220.00 บาท
MOTIGET 10 mg 14's,ราคา 85.00 บาท
MONTIGET 5 mg 14's,ราคา 218.00 บาท
METADOXIL 500 mg 10X10's (Eurodrug),ราคา 189.00 บาท
CODIPHEN 50 mg 10's (RX Chumchon),ราคา 32.00 บาท
BD MICRO-FINE 31G (0.25x8mm) 100 ชิ้น/กล่อง,ราคา 465.00 บาท
ยาแก้ไข้เด็ก ตรางู 60 ml,ราคา 26.00 บาท
ALCOHOL 70% ALSOFF 450 ml ตราเสือดาว,ราคา 33.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
OSSIUM 200 mg (10X10's),ราคา 42.00 บาท
EMULAX 5 mg (10X10's),ราคา 65.00 บาท
NORFLEX 100 mg 5X20's (INOVA),ราคา 297.00 บาท
PROSTAGUTT 60's,ราคา 900.00 บาท
ESIDEP 10 mg (4X7's),ราคา 310.00 บาท
CARXASIN 4 mg 10X10's (M&H),ราคา 320.00 บาท
CARXASIN 2 mg 10X10's (M&H),ราคา 215.00 บาท
PREME 1X28's (TNP),ราคา 89.50 บาท
ALEREST Syrup 60 ml (RX Chumchon),ราคา 32.00 บาท
LORIUS Syrup 60 ml (SPS),ราคา 82.00 บาท
VISTRA WHEY PROTEIN 15 ซอง/กล่อง,ราคา 295.00 บาท
TONIZEP FDT 10 mg 2X14's (TO),ราคา 990.00 บาท
TERBROSIN 10X10's (RX Chumchon),ราคา 145.00 บาท
DEZTANEX 5 mg 1X10's (TEVA),ราคา 72.00 บาท
HYCLEAN PEACH ผ้าเช็ดทำความสะอาด,ราคา 100.00 บาท
HYCLEAN ผ้าเช็ดทำความสะอาด,ราคา 100.00 บาท
